# Pixel barrel survey data
# ########################
#
# Important: Your code should ignore all lines with a hash sign (#) in the first column
#
# This file contains the raw results from the photographic survey carried out
# at Paul Scherrer Institut prior to the insertion of the pixel barrel. Each
# line is the result of one image covering two neighbouring modules along a
# ladder. Given are the coordinates in the frame of the photo in pixels for
# the four fiducial marks (1) to (4). These coordinates were obtained using a
# pattern recognition software at PSI configured to search for the crosshair
# marks on the sensor surface. The precision of these marks on the sensor are
# better than 0.1um (controlled by the etching process). The error is
# therefore dominated by the photograph. The lens used was a Canon macro lens
# showing no measureable distortion (tested with a grid images). The scale of
# the images may vary as the distance was difficult to control.
#
#   -------------++--------------
#           (3) +||+ (2)  
#                ||
#    left module || right module
#                ||
#                ||
#           (4) +||+ (1)     
#   -------------++--------------
#
# The distance between two marks on one sensor (eg. (1) and (2)) is exactly
# 1.82000cm
# 
# The fields contain the following data (all units in image pixels):
#
# rawID1 : ID of the first (left) module in the image
# v_1_1  : v coordinate of (3)
# u_1_1  : u coordinate of (3)
# v_2_1  : v coordinate of (4)
# u_2_1  : u coordinate of (4)
# rawID2 : ID of the second (right) module in the image
# v_1_2  : v coordinate of (2)
# u_1_2  : u coordinate of (2)
# v_2_2  : v coordinate of (1)
# u_2_2  : u coordinate of (1)
# sigma_v: gaussian error of measurement of the v coordinate
# sigma_u: gaussian error of measurement of the u coordinate
#
# Some coordinates have negative values. This is the case when some parts of
# the support structure were obstructing the view and the camera was turned
# upside down to catch the image.
#
# The error has been estimated with a linear fit along a whole ladder. By
# adjusting the chi^2 of the fit the error was determined to be 1.5um. Using
# an average scaling factor of the images of 1154 px/cm the given error of
# 0.175 is obtained. This is well within expectations. 1/sqrt(12)=0.3 and the
# pattern recognition software fits the crosshairs, leading to better
# precision than just 1/sqrt(12).
#
# For further questions contact
# Hans-Christian Kästli: hans-christian.kaestli@psi.ch
# Frank Meier          : frank.meier@psi.ch
#
#
# rawID1    v_1_1     u_1_1     v_2_1     u_2_1     rawID2      v_1_2     u_1_2     v_2_2     u_2_2     sigma_v   sigma_u
# -------   -------   -------   -------   -------   ---------   -------   -------   -------   -------   -------   -------
302057752   1246.14   2736.10   1237.10    564.01   302057756   1369.36   2755.42   1364.17    583.96     0.175     0.175 
302057756   1241.87   2752.21   1235.68    592.53   302057760   1345.20   2762.80   1336.55    602.58     0.175     0.175 
302057988   1346.74   2994.25   1344.02    884.34   302057992   1447.75   2967.09   1457.69    857.48     0.175     0.175 
302057992   1321.56   3014.25   1331.25    902.30   302057996   1434.17   2980.49   1433.31    868.71     0.175     0.175 
302057996   1306.81   2997.46   1310.20    886.71   302058000   1430.60   2964.53   1443.36    853.91     0.175     0.175 
302058000   1314.44   3026.68   1325.52    915.18   302058004   1443.50   3006.66   1438.52    895.39     0.175     0.175 
302058004   1154.79   2998.70   1149.79    887.01   302058008   1260.58   2993.57   1258.29    881.47     0.175     0.175 
302058008   1263.28   2994.93   1260.64    885.29   302058012   1380.35   2977.84   1384.42    868.51     0.175     0.175 
302058012   1271.66   3019.63   1277.40    906.98   302058016   1383.34   3012.64   1379.60    899.90     0.175     0.175 
302058244   1324.05   2770.58   1322.50    613.89   302058248   1429.83   2736.96   1432.67    581.00     0.175     0.175 
302058248   1326.47   2763.08   1330.82    606.80   302058252   1450.02   2748.61   1447.33    591.79     0.175     0.175 
302058252   1304.17   2754.53   1301.18    599.44   302058256   1428.31   2755.97   1419.73    601.55     0.175     0.175 
302058256   1308.67   2743.37   1301.52    589.53   302058260   1431.62   2736.63   1429.63    582.99     0.175     0.175 
302058260   1105.57   2751.24   1103.83    595.71   302058264   1228.55   2741.07   1225.20    584.69     0.175     0.175 
302058264   1241.21   2742.47   1238.04    589.98   302058268   1349.27   2742.50   1346.49    590.06     0.175     0.175 
302058268   1217.87   2749.50   1214.62    601.91   302058272   1331.08   2739.83   1329.50    592.24     0.175     0.175 
302058500   1354.16   2977.61   1353.52    885.51   302058504   1471.96   2978.79   1463.38    887.21     0.175     0.175 
302058504   1343.27   2956.60   1334.57    864.55   302058508   1455.60   2962.32   1450.66    870.27     0.175     0.175 
302058508   1326.99   2962.79   1326.16    870.45   302058512   1441.59   2962.68   1441.38    870.67     0.175     0.175 
302058512   1328.19   2975.38   1325.60    883.47   302058516   1459.55   2973.40   1456.69    881.55     0.175     0.175 
302058516   1176.66   2969.24   1172.86    877.25   302058520   1278.69   2981.04   1276.78    889.29     0.175     0.175 
302058520   1282.91   2982.53   1280.55    890.04   302058524   1380.56   2985.22   1377.48    892.77     0.175     0.175 
302058524   1272.75   2997.52   1270.64    906.35   302058528   1385.33   2997.88   1381.13    906.41     0.175     0.175 
302058756   1316.85   2776.77   1313.66    620.68   302058760   1447.36   2733.87   1445.72    578.26     0.175     0.175 
302058760   1350.72   2745.79   1351.73    589.01   302058764   1456.68   2731.64   1456.64    574.70     0.175     0.175 
302058764   1306.82   2749.06   1306.59    591.11   302058768   1418.75   2726.77   1417.04    569.27     0.175     0.175 
302058768   1309.49   2739.77   1309.34    583.51   302058772   1425.35   2728.14   1420.74    572.88     0.175     0.175 
302058772   1110.23   2734.90   1106.32    578.41   302058776   1229.69   2725.72   1230.41    568.76     0.175     0.175 
302058776   1216.70   2740.88   1217.57    585.17   302058780   1361.68   2711.16   1366.74    555.09     0.175     0.175 
302058780   1247.36   2748.38   1251.79    593.75   302058784   1356.09   2734.19   1351.64    579.77     0.175     0.175 
302059012  -1427.67   -736.35  -1429.13  -2820.39   302059016  -1313.32   -723.31  -1314.72  -2807.47     0.175     0.175 
302059016  -1420.61   -710.57  -1422.55  -2794.60   302059020  -1327.37   -703.59  -1329.97  -2787.49     0.175     0.175 
302059020  -1323.93   -703.76  -1325.94  -2787.48   302059024  -1206.49   -696.17  -1203.22  -2779.61     0.175     0.175 
302059024  -1496.55   -673.58  -1492.51  -2757.45   302059028  -1356.74   -683.24  -1357.57  -2767.12     0.175     0.175 
302059028  -1478.93   -671.57  -1478.62  -2755.94   302059032  -1369.65   -683.28  -1366.40  -2766.51     0.175     0.175 
302059032  -1497.69   -667.45  -1499.44  -2750.99   302059036  -1389.63   -658.95  -1389.75  -2742.50     0.175     0.175 
302059036  -1514.52   -654.43  -1514.70  -2738.56   302059040  -1415.52   -662.78  -1418.52  -2746.74     0.175     0.175 
302056452   1490.47   3030.52   1478.20    950.14   302056456   1588.25   3028.37   1582.01    947.82     0.175     0.175 
302056456   1466.95   3002.06   1461.45    922.91   302056460   1583.38   2996.24   1575.30    917.18     0.175     0.175 
302056460   1447.10   2990.71   1444.55    909.73   302056464   1545.79   2991.15   1547.46    910.39     0.175     0.175 
302056464   1429.58   3011.82   1430.66    926.02   302056468   1573.69   3005.89   1574.02    920.20     0.175     0.175 
302056468   1276.54   3011.59   1276.61    932.81   302056472   1374.64   2997.00   1378.52    918.34     0.175     0.175 
302056472   1379.66   3021.38   1382.88    938.10   302056476   1500.48   3011.34   1492.56    928.22     0.175     0.175 
302056476   1398.54   3008.38   1391.85    923.99   302056480   1513.90   3012.02   1512.58    927.65     0.175     0.175 
302056196   1543.57   3045.85   1531.37    906.16   302056200   1641.82   3040.14   1638.20    901.05     0.175     0.175 
302056200   1550.51   3042.02   1546.66    900.94   302056204   1664.53   3039.06   1657.13    897.92     0.175     0.175 
302056204   1514.31   3022.13   1508.98    885.13   302056208   1631.57   3022.48   1624.64    884.70     0.175     0.175 
302056208   1519.13   3012.03   1514.79    869.24   302056212   1646.73   3005.08   1641.17    862.12     0.175     0.175 
302056212   1337.61   2987.89   1331.96    846.11   302056216   1462.41   2990.04   1456.79    847.85     0.175     0.175 
302056216   1455.09   2982.88   1449.68    840.65   302056220   1566.64   3009.28   1560.08    867.33     0.175     0.175 
302056220   1441.62   2991.54   1434.37    849.76   302056224   1572.05   2998.44   1571.51    856.08     0.175     0.175 
302055940   1491.43   3046.80   1482.89    965.04   302055944   1589.77   3037.17   1584.37    955.32     0.175     0.175 
302055944   1458.13   3017.81   1453.33    937.82   302055948   1585.26   3023.77   1574.46    943.86     0.175     0.175 
302055948   1455.54   3006.60   1449.43    923.72   302055952   1554.52   3009.24   1549.99    926.75     0.175     0.175 
302055952   1441.63   3008.05   1435.58    924.82   302055956   1568.38   3010.94   1562.23    927.73     0.175     0.175 
302055956   1279.56   2997.82   1273.53    914.15   302055960   1397.71   3016.06   1392.70    931.69     0.175     0.175 
302055960   1397.06   3004.12   1391.62    919.78   302055964   1495.23   3002.16   1491.68    917.60     0.175     0.175 
302055964   1392.95   3016.48   1390.29    931.00   302055968   1523.47   3011.13   1527.71    926.01     0.175     0.175 
302055684   1548.72   3044.84   1535.82    903.01   302055688   1645.74   3045.15   1639.89    903.80     0.175     0.175 
302055688   1549.70   3019.58   1543.40    879.76   302055692   1681.46   3024.30   1673.79    884.44     0.175     0.175 
302055692   1531.90   3013.12   1524.23    872.99   302055696   1648.47   3026.20   1638.33    887.25     0.175     0.175 
302055696   1531.13   3012.37   1522.42    873.45   302055700   1649.84   3008.12   1649.57    869.36     0.175     0.175 
302055700   1334.11   3001.13   1334.10    859.56   302055704   1457.33   3000.50   1459.44    858.67     0.175     0.175 
302055704   1459.61   3020.37   1461.75    878.45   302055708   1577.17   3010.45   1576.34    868.74     0.175     0.175 
302055708   1458.86   3026.97   1456.89    885.80   302055712   1582.53   3020.12   1582.08    878.99     0.175     0.175 
302060548   1512.62   3055.49   1498.51    975.00   302060552   1605.43   3051.52   1600.96    971.29     0.175     0.175 
302060552   1475.81   3034.78   1471.80    957.51   302060556   1607.85   3032.33   1598.06    955.41     0.175     0.175 
302060556   1482.63   3023.59   1478.06    942.70   302060560   1587.27   3029.86   1582.01    948.37     0.175     0.175 
302060560   1471.46   3027.33   1465.17    946.11   302060564   1594.16   3026.68   1583.43    945.82     0.175     0.175 
302060564   1295.49   3000.93   1285.56    916.34   302060568   1432.60   3011.03   1434.26    926.35     0.175     0.175 
302060568   1434.61   3023.90   1435.14    940.50   302060572   1527.20   3026.29   1520.65    942.65     0.175     0.175 
302060572   1426.65   3029.04   1420.96    944.48   302060576   1545.53   3027.40   1542.18    942.41     0.175     0.175 
302060292   1540.31   3038.98   1531.74    896.60   302060296   1656.45   3042.39   1650.98    900.57     0.175     0.175 
302060296   1562.50   3032.80   1558.58    888.43   302060300   1679.67   3039.57   1672.04    894.83     0.175     0.175 
302060300   1531.10   3028.87   1523.18    884.65   302060304   1650.54   3039.46   1644.09    895.55     0.175     0.175 
302060304   1539.33   3025.74   1534.63    880.13   302060308   1654.58   3023.88   1652.31    877.94     0.175     0.175 
302060308   1341.94   3028.54   1340.14    881.92   302060312   1463.59   3033.92   1454.45    887.68     0.175     0.175 
302060312   1459.30   3006.10   1449.91    860.68   302060316   1575.55   3008.83   1572.71    862.40     0.175     0.175 
302060316   1443.12   3017.34   1440.13    869.37   302060320   1572.79   3018.45   1568.29    869.64     0.175     0.175 
302060036   1544.45   3061.63   1533.10    981.09   302060040   1650.78   3065.18   1642.68    984.81     0.175     0.175 
302060040   1518.09   3037.02   1511.24    955.31   302060044   1640.42   3041.15   1629.69    959.40     0.175     0.175 
302060044   1505.60   3024.69   1499.89    943.25   302060048   1613.01   3038.09   1607.28    957.04     0.175     0.175 
302060048   1498.84   3032.62   1491.99    949.62   302060052   1613.21   3039.88   1605.45    956.79     0.175     0.175 
302060052   1319.18   3018.83   1311.59    936.72   302060056   1444.64   3030.81   1440.37    948.99     0.175     0.175 
302060056   1449.45   3024.39   1444.17    941.13   302060060   1548.81   3034.28   1542.14    951.46     0.175     0.175 
302060060   1448.48   3034.13   1442.27    949.25   302060064   1569.72   3050.33   1562.99    964.70     0.175     0.175 
302059780   1531.06   3066.33   1524.15    923.34   302059784   1657.56   3068.56   1646.29    925.86     0.175     0.175 
302059784   1574.38   3035.02   1562.89    890.76   302059788   1697.39   3048.21   1691.12    904.32     0.175     0.175 
302059788   1541.51   3043.40   1535.81    901.80   302059792   1656.34   3060.37   1644.79    918.91     0.175     0.175 
302059792   1537.94   3027.08   1527.35    892.37   302059796   1645.19   3021.54   1638.39    887.00     0.175     0.175 
302059796   1336.29   3016.74   1331.46    871.40   302059800   1466.79   3028.76   1459.77    883.36     0.175     0.175 
302059800   1459.40   3014.38   1452.00    866.46   302059804   1574.09   3038.43   1568.71    890.88     0.175     0.175 
302059804   1453.94   3032.33   1448.52    885.53   302059808   1572.34   3041.02   1566.12    894.32     0.175     0.175 
302123524   1401.63   2963.60   1390.41    843.80   302123528   1510.28   2966.09   1510.05    846.49     0.175     0.175 
302123528   1420.90   2979.31   1421.48    856.78   302123532   1538.30   2967.98   1540.42    845.47     0.175     0.175 
302123532   1389.46   2998.13   1391.57    875.19   302123536   1515.91   2971.95   1507.78    849.07     0.175     0.175 
302123536   1410.42   2959.88   1403.07    836.41   302123540   1523.56   2960.90   1515.91    837.23     0.175     0.175 
302123540   1180.15   2946.84   1172.95    822.15   302123544   1296.53   2949.79   1291.04    824.40     0.175     0.175 
302123544   1322.16   2942.74   1316.71    817.29   302123548   1434.21   2950.48   1430.37    824.46     0.175     0.175 
302123548   1308.77   2952.74   1304.89    828.82   302123552   1427.93   2935.15   1428.50    811.46     0.175     0.175 
302123780   1388.61   2952.63   1383.95    838.07   302123784   1496.98   2946.24   1500.98    831.47     0.175     0.175 
302123784   1369.91   2964.50   1373.68    852.07   302123788   1486.37   2940.63   1478.50    828.00     0.175     0.175 
302123788   1359.24   2932.89   1354.91    817.07   302123792   1466.21   2955.30   1461.18    839.53     0.175     0.175 
302123792   1346.69   2948.56   1339.53    834.61   302123796   1491.56   2948.86   1485.39    835.23     0.175     0.175 
302123796   1209.72   2934.91   1202.72    819.58   302123800   1314.78   2952.69   1308.41    837.56     0.175     0.175 
302123800   1322.70   2940.20   1314.79    823.92   302123804   1424.72   2945.35   1420.27    829.73     0.175     0.175 
302123804   1315.09   2954.69   1311.27    839.42   302123808   1429.53   2953.05   1421.02    838.10     0.175     0.175 
302124036   1354.56   2949.98   1351.86    805.93   302124040   1494.72   2955.16   1483.02    811.52     0.175     0.175 
302124040   1396.45   2930.39   1386.96    785.90   302124044   1521.82   2935.72   1517.65    791.47     0.175     0.175 
302124044   1375.79   2933.76   1372.00    786.77   302124048   1484.64   2923.54   1478.18    777.27     0.175     0.175 
302124048   1376.73   2919.16   1370.51    774.53   302124052   1505.82   2936.09   1496.05    791.38     0.175     0.175 
302124052   1187.05   2924.59   1178.25    776.29   302124056   1289.49   2926.50   1283.45    778.73     0.175     0.175 
302124056   1282.62   2918.81   1276.54    770.71   302124060   1412.72   2922.32   1406.05    774.73     0.175     0.175 
302124060   1280.52   2913.67   1273.64    761.04   302124064   1383.75   2906.27   1384.19    753.05     0.175     0.175 
302124292   1418.60   3056.68   1415.63    966.84   302124296   1534.42   3048.86   1528.43    959.74     0.175     0.175 
302124296   1392.59   3030.39   1386.78    940.84   302124300   1490.29   3012.73   1488.70    922.75     0.175     0.175 
302124300   1366.52   3030.45   1368.46    940.22   302124304   1503.55   3015.60   1509.10    925.75     0.175     0.175 
302124304   1381.38   3050.81   1385.62    961.24   302124308   1501.38   3022.58   1499.28    933.77     0.175     0.175 
302124308   1214.78   3022.22   1212.83    931.29   302124312   1309.64   3001.06   1309.20    909.85     0.175     0.175 
302124312   1310.66   3008.76   1309.63    918.76   302124316   1416.43   2980.56   1420.26    890.37     0.175     0.175 
302124316   1313.87   3024.02   1317.92    935.20   302124320   1435.39   2995.67   1438.85    906.52     0.175     0.175 
302124548   1398.84   2981.60   1390.82    866.21   302124552   1520.30   3002.34   1506.95    887.29     0.175     0.175 
302124552   1430.16   2971.52   1417.58    855.32   302124556   1554.51   2957.54   1551.96    841.02     0.175     0.175 
302124556   1409.69   2979.46   1407.08    860.09   302124560   1523.32   2965.96   1515.68    846.52     0.175     0.175 
302124560   1422.40   2955.62   1415.44    836.20   302124564   1553.31   2966.48   1546.07    847.07     0.175     0.175 
302124564   1243.90   2959.60   1237.08    840.32   302124568   1355.57   2962.49   1346.34    843.65     0.175     0.175 
302124568   1344.48   2942.43   1335.48    821.74   302124572   1450.75   2946.37   1444.35    825.57     0.175     0.175 
302124572   1326.65   2945.44   1319.94    824.11   302124576   1448.35   2955.09   1437.20    833.48     0.175     0.175 
302124804   1389.04   2964.89   1380.25    867.17   302124808   1482.17   2945.10   1487.02    847.33     0.175     0.175 
302124808   1355.65   2966.06   1360.39    868.22   302124812   1472.65   2952.62   1461.31    854.61     0.175     0.175 
302124812   1348.63   2941.51   1341.36    844.14   302124816   1454.85   2935.73   1453.73    838.99     0.175     0.175 
302124816   1330.28   2943.28   1328.35    848.07   302124820   1478.96   2925.02   1472.18    830.19     0.175     0.175 
302124820   1193.00   2911.72   1186.42    815.64   302124824   1305.42   2919.07   1295.14    823.47     0.175     0.175 
302124824   1309.89   2898.02   1298.98    801.55   302124828   1407.20   2901.14   1404.82    804.68     0.175     0.175 
302124828   1300.33   2918.04   1297.59    822.15   302124832   1413.17   2897.49   1409.13    802.01     0.175     0.175 
302125060   1406.62   2973.99   1387.00    857.89   302125064   1512.34   2997.80   1500.94    881.95     0.175     0.175 
302125064   1428.86   2972.14   1418.14    854.35   302125068   1565.46   2981.87   1554.94    863.85     0.175     0.175 
302125068   1417.61   2972.00   1406.75    851.82   302125072   1529.61   2992.95   1518.18    872.86     0.175     0.175 
302125072   1423.40   2969.37   1412.75    846.98   302125076   1533.66   2969.93   1527.23    847.03     0.175     0.175 
302125076   1220.84   2964.83   1215.02    842.07   302125080   1356.35   2964.76   1350.61    842.26     0.175     0.175 
302125080   1349.69   2957.47   1344.64    832.16   302125084   1449.99   2942.52   1448.56    817.23     0.175     0.175 
302125084   1316.96   2956.07   1314.89    830.99   302125088   1419.67   2954.69   1412.68    829.18     0.175     0.175 
302125316   1405.58   3063.85   1400.06    977.15   302125320   1517.29   3069.06   1508.28    981.79     0.175     0.175 
302125320   1392.39   3041.65   1382.42    952.93   302125324   1498.25   3041.65   1486.05    953.29     0.175     0.175 
302125324   1365.52   3025.38   1357.88    936.68   302125328   1478.19   3031.82   1470.13    943.98     0.175     0.175 
302125328   1360.95   3016.17   1352.23    929.40   302125332   1502.29   3024.51   1501.23    937.46     0.175     0.175 
302125332   1218.27   3029.68   1216.99    941.67   302125336   1334.99   3019.62   1329.93    931.20     0.175     0.175 
302125336   1330.76   3017.91   1325.19    931.00   302125340   1428.67   3017.31   1418.89    930.10     0.175     0.175 
302125340   1327.69   3008.63   1318.48    920.22   302125344   1429.27   3020.56   1424.49    932.24     0.175     0.175 
302125572   1408.41   2990.26   1396.23    873.20   302125576   1515.30   3003.50   1503.93    887.04     0.175     0.175 
302125576   1429.58   2979.08   1419.41    859.36   302125580   1552.47   2996.06   1541.25    876.83     0.175     0.175 
302125580   1400.51   2980.15   1389.29    862.78   302125584   1500.95   2983.21   1495.89    865.67     0.175     0.175 
302125584   1398.31   2983.58   1393.53    863.35   302125588   1514.37   2975.40   1506.39    855.54     0.175     0.175 
302125588   1206.61   2965.18   1198.85    842.78   302125592   1328.45   2976.18   1321.04    853.72     0.175     0.175 
302125592   1318.42   2961.13   1310.82    838.83   302125596   1436.11   2964.30   1432.52    841.51     0.175     0.175 
302125596   1303.75   2970.69   1300.63    848.96   302125600   1405.57   2944.40   1408.18    821.18     0.175     0.175 
302125828   1405.06   3071.98   1396.31    983.57   302125832   1523.29   3072.03   1518.32    983.38     0.175     0.175 
302125832   1389.29   3058.01   1383.71    969.68   302125836   1504.08   3058.88   1497.30    969.87     0.175     0.175 
302125836   1395.25   3067.47   1392.22    979.25   302125840   1488.25   3057.76   1486.02    970.03     0.175     0.175 
302125840   1353.23   3060.49   1350.86    973.55   302125844   1499.28   3054.28   1489.00    966.51     0.175     0.175 
302125844   1215.35   3021.64   1204.71    934.64   302125848   1320.57   3046.26   1310.71    958.67     0.175     0.175 
302125848   1314.54   3037.77   1304.51    950.93   302125852   1412.90   3030.11   1409.26    943.07     0.175     0.175 
302125852   1327.53   3035.62   1324.29    948.48   302125856   1443.91   3033.68   1436.12    946.88     0.175     0.175 
302126084   1375.46   2914.36   1364.90    770.21   302126088   1509.37   2921.32   1497.27    776.93     0.175     0.175 
302126088   1410.60   2895.03   1399.94    751.39   302126092   1509.98   2901.06   1505.87    757.38     0.175     0.175 
302126092   1367.50   2904.44   1363.02    759.37   302126096   1491.62   2905.00   1482.49    760.42     0.175     0.175 
302126096   1372.84   2891.26   1365.09    749.23   302126100   1487.72   2897.86   1477.75    755.46     0.175     0.175 
302126100   1204.35   2885.96   1195.49    741.32   302126104   1331.67   2899.43   1325.84    755.02     0.175     0.175 
302126104   1307.40   2892.81   1301.64    745.78   302126108   1429.38   2902.29   1420.06    755.58     0.175     0.175 
302126108   1292.48   2884.43   1282.61    737.48   302126112   1403.83   2899.56   1397.91    752.06     0.175     0.175 
302126340  -1416.89   -902.72  -1412.15  -3014.47   302126344  -1301.56   -915.94  -1299.11  -3027.03     0.175     0.175 
302126344  -1401.52   -881.19  -1399.56  -2992.20   302126348  -1288.39   -912.97  -1284.52  -3023.58     0.175     0.175 
302126348  -1275.60   -887.04  -1270.52  -2998.41   302126352  -1165.51   -892.05  -1172.09  -3003.47     0.175     0.175 
302126352  -1460.05   -907.57  -1466.90  -3019.01   302126356  -1329.83   -913.36  -1332.64  -3024.67     0.175     0.175 
302126356  -1442.21   -902.76  -1442.46  -3014.26   302126360  -1341.62   -932.07  -1327.53  -3043.76     0.175     0.175 
302126360  -1463.99   -876.37  -1452.92  -2987.75   302126364  -1353.78   -912.04  -1350.79  -3023.85     0.175     0.175 
302126364  -1487.67   -896.47  -1484.34  -3008.37   302126368  -1367.57   -914.81  -1363.70  -3027.33     0.175     0.175 
302126596   1370.48   2914.51   1367.31    769.15   302126600   1469.02   2916.17   1465.57    771.44     0.175     0.175 
302126600   1368.48   2921.32   1366.61    777.37   302126604   1484.10   2906.33   1474.93    761.47     0.175     0.175 
302126604   1336.42   2899.32   1327.03    753.93   302126608   1463.04   2910.51   1454.66    764.87     0.175     0.175 
302126608   1345.05   2896.96   1339.14    751.98   302126612   1455.43   2899.10   1448.75    753.95     0.175     0.175 
302126612   1152.51   2895.86   1146.43    749.74   302126616   1278.14   2891.28   1277.56    745.30     0.175     0.175 
302126616   1265.16   2903.77   1264.59    756.40   302126620   1383.69   2897.45   1377.46    750.11     0.175     0.175 
302126620   1256.25   2890.62   1249.45    743.11   302126624   1380.25   2905.52   1377.45    757.55     0.175     0.175 
302126852  -1424.16   -919.86  -1434.17  -3030.50   302126856  -1323.64   -927.17  -1327.98  -3036.78     0.175     0.175 
302126856  -1431.71   -917.52  -1436.15  -3026.87   302126860  -1300.94   -908.94  -1309.36  -3018.61     0.175     0.175 
302126860  -1287.54   -924.54  -1294.78  -3034.27   302126864  -1175.61   -914.06  -1177.69  -3023.51     0.175     0.175 
302126864  -1471.38   -912.40  -1472.82  -3022.74   302126868  -1338.67   -878.60  -1356.04  -2988.56     0.175     0.175 
302126868  -1451.94   -919.79  -1467.54  -3030.25   302126872  -1343.79   -908.68  -1345.90  -3019.19     0.175     0.175 
302126872  -1470.02   -907.09  -1476.63  -3017.86   302126876  -1365.66   -939.78  -1351.46  -3050.44     0.175     0.175 
302126876  -1485.13   -870.64  -1468.66  -2981.56   302126880  -1367.75   -895.25  -1375.66  -3006.22     0.175     0.175 
302122756   1488.18   3132.39   1482.24   1040.51   302122760   1593.06   3137.83   1581.83   1046.31     0.175     0.175 
302122760   1467.62   3091.70   1455.34   1002.60   302122764   1582.48   3099.73   1573.75   1010.40     0.175     0.175 
